,17_group,18_group,blended,fall_1,fall_2,fall_3,id,is_first_place,is_first_time,is_last_place,is_mi,is_ml_student,percentile,rating,spring_1,spring_2,spring_3,timestamp
81,0.0,182.0,,Безопасность компьютерных систем,Statistical Learning Theory,Матричные вычисления,7f9d0f835bf734ccd4619041c3475c1c,False,Нет,False,0.0,1.0,0.2286995515695067,689,Дискретная оптимизация,Дополнительные главы прикладной статистики,Промышленное программирование на языке Java,2020-05-18 17:21:14.354
82,0.0,182.0,,Безопасность компьютерных систем,Statistical Learning Theory,Матричные вычисления,bfe75c08c6b7e31d4e7d48c9c5fed69b,False,Да,False,0.0,1.0,0.02242152466367708,758,Дискретная оптимизация,Промышленное программирование на языке Java,Дополнительные главы прикладной статистики,2020-05-18 17:22:56.786
83,0.0,182.0,,Теория баз данных,Моделирование временных рядов,Statistical Learning Theory,651f2fa7d270b436246ddd7d05880bfa,True,Да,False,0.0,1.0,0.0358744394618834,755,Дополнительные главы прикладной статистики,Численные методы,Системы баз данных,2020-05-18 17:32:12.074
84,0.0,187.0,,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Язык SQL,9f23846141606a1e26e8e4c28e9a7262,False,Да,False,0.0,0.0,0.9506726457399103,527,Компьютерные сети,Промышленное программирование на языке Java,Системы баз данных,2020-05-18 17:51:56.025
85,0.0,187.0,,Statistical Learning Theory,Матричные вычисления,Моделирование временных рядов,6b3d72def53597696afb19faed1f8365,False,Да,False,0.0,0.0,0.452914798206278,641,Дискретная оптимизация,Численные методы,Машинное обучение 2,2020-05-18 17:53:08.611
86,0.0,182.0,,Безопасность компьютерных систем,Statistical Learning Theory,Матричные вычисления,044e038535ae5d2ff037150b77fdc6d1,False,Да,False,0.0,1.0,0.1390134529147982,710,Дискретная оптимизация,Промышленное программирование на языке Java,Дополнительные главы прикладной статистики,2020-05-18 17:56:00.688
87,0.0,182.0,,Безопасность компьютерных систем,Statistical Learning Theory,Матричные вычисления,fd784637a19d65bbe5b07d6efac5a05d,False,Да,False,0.0,0.0,0.5336322869955157,625,Машинное обучение 2,Дискретная оптимизация,Компьютерные сети,2020-05-18 18:01:52.604
88,0.0,186.0,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Statistical Learning Theory,25bd5b6bb000f48b8276cbb942537386,False,Да,False,0.0,0.0,0.3228699551569507,668,Машинное обучение 2,Дискретная оптимизация,Системы баз данных,2020-05-18 18:02:10.929
89,0.0,182.0,,Матричные вычисления,Безопасность компьютерных систем,Statistical Learning Theory,e0ca1a9548af9a3f98428c62420aa484,True,Да,False,0.0,0.0,0.004484304932735439,764,Дискретная оптимизация,Дополнительные главы прикладной статистики,Машинное обучение 2,2020-05-18 18:03:57.347
90,0.0,184.0,,Statistical Learning Theory,Язык SQL,Сбор и обработка данных с помощью краудсорсинга,6256514074c4680d1b14e4f2a863fd78,False,Да,False,0.0,0.0,0.6681614349775784,596,Анализ данных в бизнесе,Численные методы,Дополнительные главы прикладной статистики,2020-05-18 18:06:29.107
91,0.0,181.0,,Statistical Learning Theory,Матричные вычисления,Безопасность компьютерных систем,1f63fc485d851236249263b91dc03d6b,False,Да,False,0.0,1.0,0.03139013452914796,756,Дискретная оптимизация,Дополнительные главы прикладной статистики,Промышленное программирование на языке Java,2020-05-18 18:17:59.748
92,0.0,182.0,,Сбор и обработка данных с помощью краудсорсинга,Язык SQL,Принятие решений в условиях риска и неопределённости,425c2a90f447620c9a1868e92f0a7af6,False,Да,False,0.0,1.0,0.01345291479820632,760,Промышленное программирование на языке Java,Дополнительные главы прикладной статистики,Анализ данных в бизнесе,2020-05-18 18:24:10.335
93,0.0,188.0,,Statistical Learning Theory,Матричные вычисления,Теория баз данных,88ae08d9db8d34b267780ed642d0d2db,False,Да,False,0.0,0.0,0.7354260089686099,581,Дискретная оптимизация,Численные методы,Промышленное программирование на языке Java,2020-05-18 18:29:57.440
94,0.0,181.0,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Язык SQL,cd8299f4173e8a509275b25787670ad2,False,Да,False,0.0,0.0,0.1614349775784754,704,Дискретная оптимизация,Машинное обучение 2,Промышленное программирование на языке Java,2020-05-18 18:30:23.257
95,0.0,185.0,,Безопасность компьютерных систем,Язык SQL,Теория баз данных,5ee2ad618729a6dc3bdb7f2858826ef0,False,Нет,False,0.0,0.0,0.5134529147982063,628,Компьютерные сети,Промышленное программирование на языке Java,Дискретная оптимизация,2020-05-18 18:53:41.094
96,0.0,185.0,,Безопасность компьютерных систем,Язык SQL,Матричные вычисления,32fea7beb180e7de64ad408013cc01ec,False,Да,False,0.0,1.0,0.9103139013452914,539,Компьютерные сети,Промышленное программирование на языке Java,Системы баз данных,2020-05-18 18:55:40.236
97,0.0,184.0,,Безопасность компьютерных систем,Statistical Learning Theory,Матричные вычисления,bf24738793f54467434ad78be13a42bf,False,Да,True,0.0,1.0,0.2107623318385651,693,Дополнительные главы прикладной статистики,Дискретная оптимизация,Промышленное программирование на языке Java,2020-05-18 19:08:20.608
98,0.0,186.0,,Высокопроизводительные вычисления,Язык SQL,Безопасность компьютерных систем,f736e00dc03850c59649e77149895d5a,False,Да,False,0.0,0.0,0.4035874439461884,652,Машинное обучение 2,Промышленное программирование на языке Java,Численные методы,2020-05-18 19:09:00.945
99,0.0,185.0,,Безопасность компьютерных систем,Матричные вычисления,Моделирование временных рядов,d08d06bc5d31e35616fafc59de6f2e34,False,Да,False,0.0,1.0,0.2197309417040358,691,Промышленное программирование на языке Java,Компьютерные сети,Дополнительные главы прикладной статистики,2020-05-18 19:16:43.914
100,0.0,182.0,,Моделирование временных рядов,Теория баз данных,Матричные вычисления,ff549c331d45453052f28ad2614afda9,False,Да,False,0.0,0.0,0.1076233183856502,723,Численные методы,Анализ данных в бизнесе,Промышленное программирование на языке Java,2020-05-18 19:23:23.735
101,0.0,186.0,,Безопасность компьютерных систем,Моделирование временных рядов,Сбор и обработка данных с помощью краудсорсинга,76d70b75a12f7b2ae593d02da6ed62ec,False,Да,False,0.0,0.0,0.2331838565022422,688,Компьютерные сети,Машинное обучение 2,Системы баз данных,2020-05-18 19:23:38.274
102,0.0,186.0,,Моделирование временных рядов,Сбор и обработка данных с помощью краудсорсинга,Безопасность компьютерных систем,5a6f07c1f6186408b43f0f8e729168e9,False,Да,False,0.0,1.0,0.4932735426008968,632,Компьютерные сети,Дополнительные главы прикладной статистики,Системы баз данных,2020-05-18 19:25:39.947
103,0.0,185.0,,Безопасность компьютерных систем,Теория баз данных,Язык SQL,cc8e710c871ae8236b8b8705e6840793,False,Да,False,0.0,0.0,0.8340807174887892,559,Компьютерные сети,Анализ данных в бизнесе,Машинное обучение 2,2020-05-18 19:30:54.801
104,0.0,184.0,,Statistical Learning Theory,Язык SQL,Принятие решений в условиях риска и неопределённости,8c191b9ac692c190f54e66167b0adc3e,False,Да,False,0.0,0.0,0.5560538116591929,620,Анализ данных в бизнесе,Дискретная оптимизация,Численные методы,2020-05-18 19:34:58.494
105,0.0,187.0,,Сбор и обработка данных с помощью краудсорсинга,Язык SQL,Теория баз данных,1c1623a037bd523d687245e6060e6c5b,False,Да,False,0.0,0.0,0.6726457399103138,595,Промышленное программирование на языке Java,Машинное обучение 2,Компьютерные сети,2020-05-18 19:35:49.258
106,0.0,187.0,,Матричные вычисления,Сбор и обработка данных с помощью краудсорсинга,Моделирование временных рядов,d4c7805c20028b28a8e3713ccdeae2a1,False,Да,False,0.0,1.0,0.1704035874439462,702,Дополнительные главы прикладной статистики,Дискретная оптимизация,Численные методы,2020-05-18 19:36:10.039
107,0.0,187.0,,Сбор и обработка данных с помощью краудсорсинга,Язык SQL,Теория баз данных,f5d9f99cb876ca0888d18b6e444fa1b1,False,Нет,False,0.0,0.0,0.9820627802690582,516,Промышленное программирование на языке Java,Машинное обучение 2,Компьютерные сети,2020-05-18 19:36:51.479
108,0.0,185.0,,Безопасность компьютерных систем,Матричные вычисления,Моделирование временных рядов,b3eb1cdc4beffbdd5b29a8d54d649bc0,False,Да,False,0.0,1.0,0.094170403587444,731,Промышленное программирование на языке Java,Компьютерные сети,Дискретная оптимизация,2020-05-18 19:49:54.661
109,0.0,185.0,,Принятие решений в условиях риска и неопределённости,Высокопроизводительные вычисления,Язык SQL,6f1c603284d031570af2e4be6c1afdcb,False,Да,False,0.0,0.0,0.6860986547085202,592,Анализ данных в бизнесе,Компьютерные сети,Промышленное программирование на языке Java,2020-05-18 19:57:22.697
110,0.0,187.0,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Моделирование временных рядов,26e72efe2995eb032a25561b2bf78600,False,Да,False,0.0,0.0,0.6322869955156951,604,Машинное обучение 2,Компьютерные сети,Системы баз данных,2020-05-18 19:58:10.994
111,0.0,183.0,,Язык SQL,Безопасность компьютерных систем,Теория баз данных,a19f36ae8465cac527e8ce7b6ebf1213,False,Да,False,0.0,0.0,0.9013452914798207,541,Промышленное программирование на языке Java,Компьютерные сети,Анализ данных в бизнесе,2020-05-18 20:03:03.972
112,0.0,186.0,,Язык SQL,Принятие решений в условиях риска и неопределённости,Теория баз данных,ecc19831d7abd064f0488a9af2521920,False,Да,False,0.0,0.0,0.7399103139013453,580,Системы баз данных,Анализ данных в бизнесе,Компьютерные сети,2020-05-18 20:18:51.160
113,0.0,187.0,,Высокопроизводительные вычисления,Безопасность компьютерных систем,Statistical Learning Theory,2f8a48924249d2231659183d7654ed33,False,Да,False,0.0,0.0,0.3856502242152466,656,Машинное обучение 2,Системы баз данных,Компьютерные сети,2020-05-18 20:21:28.386
114,0.0,183.0,,Моделирование временных рядов,Язык SQL,Высокопроизводительные вычисления,6cd7de3774f07c65e44668cdf7e987b6,False,Да,False,0.0,1.0,0.8430493273542601,557,Промышленное программирование на языке Java,Анализ данных в бизнесе,Системы баз данных,2020-05-18 20:21:46.887
115,0.0,185.0,,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Матричные вычисления,2b0d7dd550bcca4c586cbb27d8478aa8,False,Да,False,0.0,0.0,0.5605381165919283,619,Компьютерные сети,Промышленное программирование на языке Java,Анализ данных в бизнесе,2020-05-18 20:26:39.021
116,0.0,183.0,,Язык SQL,Сбор и обработка данных с помощью краудсорсинга,Statistical Learning Theory,fc2c60b8004aa91bc272df84628621ff,False,Нет,False,0.0,1.0,0.4618834080717489,639,Системы баз данных,Машинное обучение 2,Анализ данных в бизнесе,2020-05-18 20:34:07.220
117,0.0,184.0,,Теория баз данных,Моделирование временных рядов,Принятие решений в условиях риска и неопределённости,bb94ed5af639819dac15574197c80da3,False,Да,True,0.0,0.0,0.9237668161434978,534,Анализ данных в бизнесе,Численные методы,Системы баз данных,2020-05-18 20:47:03.363
118,0.0,184.0,,Моделирование временных рядов,Теория баз данных,Принятие решений в условиях риска и неопределённости,59347ad5e9d8099a9a8fa58b841bdf05,False,Да,False,1.0,0.0,0.1434977578475336,708,Анализ данных в бизнесе,Численные методы,Системы баз данных,2020-05-18 20:48:02.936
119,0.0,185.0,,Безопасность компьютерных систем,Язык SQL,Матричные вычисления,5a6dfaade650ca8bb2d081342df303e8,False,Нет,False,0.0,0.0,0.8699551569506727,549,Промышленное программирование на языке Java,Дополнительные главы прикладной статистики,Машинное обучение 2,2020-05-18 20:50:49.049
120,0.0,184.0,,Теория баз данных,Безопасность компьютерных систем,Statistical Learning Theory,72e79e6a79cb4025077b371cc6e54247,False,Да,False,0.0,0.0,0.8654708520179373,551,Промышленное программирование на языке Java,Анализ данных в бизнесе,Численные методы,2020-05-18 20:50:53.471
121,0.0,181.0,,Высокопроизводительные вычисления,Теория баз данных,Безопасность компьютерных систем,42df9e301b39e4295fe849aa2abdfc7c,False,Нет,False,0.0,0.0,0.5919282511210762,613,Промышленное программирование на языке Java,Компьютерные сети,Численные методы,2020-05-18 20:57:09.583
122,0.0,183.0,,Безопасность компьютерных систем,Язык SQL,Теория баз данных,5c49473012411a1eee72f8ea63767adf,False,Нет,False,0.0,0.0,0.773542600896861,573,Промышленное программирование на языке Java,Компьютерные сети,Дискретная оптимизация,2020-05-18 21:02:28.759
